Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,158,00:00:06.683,6.683,158,00:00:06.683,6.683
2,159,00:00:06.683,6.683,178,00:00:07.529,7.529,20,00:00:00.846,0.846
3,179,00:00:07.529,7.529,187,00:00:07.910,7.910,9,00:00:00.381,0.381
4,188,00:00:07.910,7.910,195,00:00:08.248,8.248,8,00:00:00.338,0.338
5,196,00:00:08.248,8.248,200,00:00:08.460,8.460,5,00:00:00.211,0.211
6,201,00:00:08.460,8.460,469,00:00:19.838,19.838,269,00:00:11.378,11.378
7,470,00:00:19.838,19.838,497,00:00:21.022,21.022,28,00:00:01.184,1.184
8,498,00:00:21.022,21.022,741,00:00:31.343,31.343,244,00:00:10.321,10.321
9,742,00:00:31.343,31.343,971,00:00:41.071,41.071,230,00:00:09.729,9.729
10,972,00:00:41.071,41.071,983,00:00:41.579,41.579,12,00:00:00.508,0.508
11,984,00:00:41.579,41.579,1120,00:00:47.374,47.374,137,00:00:05.795,5.795
12,1121,00:00:47.374,47.374,1128,00:00:47.712,47.712,8,00:00:00.338,0.338
13,1129,00:00:47.712,47.712,1156,00:00:48.896,48.896,28,00:00:01.184,1.184
14,1157,00:00:48.896,48.896,1181,00:00:49.954,49.954,25,00:00:01.057,1.057
15,1182,00:00:49.954,49.954,1185,00:00:50.123,50.123,4,00:00:00.169,0.169
16,1186,00:00:50.123,50.123,1221,00:00:51.646,51.646,36,00:00:01.523,1.523
17,1222,00:00:51.646,51.646,1365,00:00:57.737,57.737,144,00:00:06.091,6.091
18,1366,00:00:57.737,57.737,1383,00:00:58.498,58.498,18,00:00:00.761,0.761
19,1384,00:00:58.498,58.498,1413,00:00:59.767,59.767,30,00:00:01.269,1.269
20,1414,00:00:59.767,59.767,1425,00:01:00.274,60.274,12,00:00:00.508,0.508
21,1426,00:01:00.274,60.274,1525,00:01:04.504,64.504,100,00:00:04.230,4.230
22,1526,00:01:04.504,64.504,1653,00:01:09.918,69.918,128,00:00:05.414,5.414
23,1654,00:01:09.918,69.918,1657,00:01:10.088,70.088,4,00:00:00.169,0.169
24,1658,00:01:10.088,70.088,1665,00:01:10.426,70.426,8,00:00:00.338,0.338
25,1666,00:01:10.426,70.426,1670,00:01:10.637,70.637,5,00:00:00.211,0.211
26,1671,00:01:10.637,70.637,1731,00:01:13.218,73.218,61,00:00:02.580,2.580
27,1732,00:01:13.218,73.218,1746,00:01:13.852,73.852,15,00:00:00.634,0.634
