Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
69,2694,00:01:53.908,113.908,2705,00:01:54.416,114.416,12,00:00:00.508,0.508
70,2706,00:01:54.416,114.416,2725,00:01:55.262,115.262,20,00:00:00.846,0.846
71,2726,00:01:55.262,115.262,2750,00:01:56.319,116.319,25,00:00:01.057,1.057
72,2751,00:01:56.319,116.319,2830,00:01:59.703,119.703,80,00:00:03.384,3.384
73,2831,00:01:59.703,119.703,2857,00:02:00.845,120.845,27,00:00:01.142,1.142
74,2858,00:02:00.845,120.845,3019,00:02:07.697,127.697,162,00:00:06.852,6.852
75,3020,00:02:07.697,127.697,3114,00:02:11.716,131.716,95,00:00:04.018,4.018
76,3115,00:02:11.716,131.716,3199,00:02:15.311,135.311,85,00:00:03.595,3.595
77,3200,00:02:15.311,135.311,3247,00:02:17.341,137.341,48,00:00:02.030,2.030
78,3248,00:02:17.341,137.341,3271,00:02:18.356,138.356,24,00:00:01.015,1.015
79,3272,00:02:18.356,138.356,3317,00:02:20.302,140.302,46,00:00:01.946,1.946
80,3318,00:02:20.302,140.302,3340,00:02:21.275,141.275,23,00:00:00.973,0.973
81,3341,00:02:21.275,141.275,3357,00:02:21.994,141.994,17,00:00:00.719,0.719
82,3358,00:02:21.994,141.994,3363,00:02:22.248,142.248,6,00:00:00.254,0.254
83,3364,00:02:22.248,142.248,3405,00:02:24.024,144.024,42,00:00:01.777,1.777
84,3406,00:02:24.024,144.024,3502,00:02:28.127,148.127,97,00:00:04.103,4.103
85,3503,00:02:28.127,148.127,3704,00:02:36.671,156.671,202,00:00:08.544,8.544
86,3705,00:02:36.671,156.671,3772,00:02:39.548,159.548,68,00:00:02.876,2.876
87,3773,00:02:39.548,159.548,3811,00:02:41.197,161.197,39,00:00:01.650,1.650
88,3812,00:02:41.197,161.197,3821,00:02:41.620,161.620,10,00:00:00.423,0.423
89,3822,00:02:41.620,161.620,3868,00:02:43.608,163.608,47,00:00:01.988,1.988
90,3869,00:02:43.608,163.608,3894,00:02:44.708,164.708,26,00:00:01.100,1.100
91,3895,00:02:44.708,164.708,3954,00:02:47.246,167.246,60,00:00:02.538,2.538
92,3955,00:02:47.246,167.246,4015,00:02:49.826,169.826,61,00:00:02.580,2.580
93,4016,00:02:49.826,169.826,4081,00:02:52.618,172.618,66,00:00:02.792,2.792
94,4082,00:02:52.618,172.618,4211,00:02:58.116,178.116,130,00:00:05.499,5.499
95,4212,00:02:58.116,178.116,4244,00:02:59.512,179.512,33,00:00:01.396,1.396
96,4245,00:02:59.512,179.512,4326,00:03:02.981,182.981,82,00:00:03.468,3.468
97,4327,00:03:02.981,182.981,4397,00:03:05.984,185.984,71,00:00:03.003,3.003
98,4398,00:03:05.984,185.984,4431,00:03:07.422,187.422,34,00:00:01.438,1.438
99,4432,00:03:07.422,187.422,4438,00:03:07.718,187.718,7,00:00:00.296,0.296
100,4439,00:03:07.718,187.718,4459,00:03:08.606,188.606,21,00:00:00.888,0.888
101,4460,00:03:08.606,188.606,4602,00:03:14.655,194.655,143,00:00:06.049,6.049
102,4603,00:03:14.655,194.655,4629,00:03:15.797,195.797,27,00:00:01.142,1.142
103,4630,00:03:15.797,195.797,4706,00:03:19.054,199.054,77,00:00:03.257,3.257
104,4707,00:03:19.054,199.054,4726,00:03:19.900,199.900,20,00:00:00.846,0.846
105,4727,00:03:19.900,199.900,5005,00:03:31.701,211.701,279,00:00:11.801,11.801
106,5006,00:03:31.701,211.701,5030,00:03:32.758,212.758,25,00:00:01.057,1.057
107,5031,00:03:32.758,212.758,5103,00:03:35.846,215.846,73,00:00:03.088,3.088
108,5104,00:03:35.846,215.846,5137,00:03:37.284,217.284,34,00:00:01.438,1.438
109,5138,00:03:37.284,217.284,5251,00:03:42.106,222.106,114,00:00:04.822,4.822
110,5252,00:03:42.106,222.106,5506,00:03:52.892,232.892,255,00:00:10.786,10.786
111,5507,00:03:52.892,232.892,5722,00:04:02.028,242.028,216,00:00:09.136,9.136
112,5723,00:04:02.028,242.028,5734,00:04:02.536,242.536,12,00:00:00.508,0.508
113,5735,00:04:02.536,242.536,5932,00:04:10.911,250.911,198,00:00:08.375,8.375
114,5933,00:04:10.911,250.911,5984,00:04:13.110,253.110,52,00:00:02.199,2.199
115,5985,00:04:13.110,253.110,5992,00:04:13.449,253.449,8,00:00:00.338,0.338
116,5993,00:04:13.449,253.449,6026,00:04:14.887,254.887,34,00:00:01.438,1.438
117,6027,00:04:14.887,254.887,6107,00:04:18.313,258.313,81,00:00:03.426,3.426
118,6108,00:04:18.313,258.313,6114,00:04:18.609,258.609,7,00:00:00.296,0.296
119,6115,00:04:18.609,258.609,6136,00:04:19.540,259.540,22,00:00:00.931,0.931
120,6137,00:04:19.540,259.540,6244,00:04:24.108,264.108,108,00:00:04.568,4.568
121,6245,00:04:24.108,264.108,6267,00:04:25.081,265.081,23,00:00:00.973,0.973
122,6268,00:04:25.081,265.081,6441,00:04:32.441,272.441,174,00:00:07.360,7.360
123,6442,00:04:32.441,272.441,6467,00:04:33.540,273.540,26,00:00:01.100,1.100
124,6468,00:04:33.540,273.540,6558,00:04:37.389,277.389,91,00:00:03.849,3.849
125,6559,00:04:37.389,277.389,6603,00:04:39.293,279.293,45,00:00:01.903,1.903
126,6604,00:04:39.293,279.293,6724,00:04:44.411,284.411,121,00:00:05.118,5.118
127,6725,00:04:44.411,284.411,6963,00:04:54.520,294.520,239,00:00:10.109,10.109
128,6964,00:04:54.520,294.520,7008,00:04:56.423,296.423,45,00:00:01.903,1.903
129,7009,00:04:56.423,296.423,7078,00:04:59.384,299.384,70,00:00:02.961,2.961
130,7079,00:04:59.384,299.384,7164,00:05:03.022,303.022,86,00:00:03.638,3.638
131,7165,00:05:03.022,303.022,7194,00:05:04.291,304.291,30,00:00:01.269,1.269
132,7195,00:05:04.291,304.291,7290,00:05:08.351,308.351,96,00:00:04.061,4.061
133,7291,00:05:08.351,308.351,7332,00:05:10.128,310.128,42,00:00:01.777,1.777
134,7333,00:05:10.128,310.128,7533,00:05:18.630,318.630,201,00:00:08.502,8.502
135,7534,00:05:18.630,318.630,7553,00:05:19.476,319.476,20,00:00:00.846,0.846
136,7554,00:05:19.476,319.476,7559,00:05:19.730,319.730,6,00:00:00.254,0.254
137,7560,00:05:19.730,319.730,7565,00:05:19.983,319.983,6,00:00:00.254,0.254
138,7566,00:05:19.983,319.983,7575,00:05:20.406,320.406,10,00:00:00.423,0.423
139,7576,00:05:20.406,320.406,7623,00:05:22.437,322.437,48,00:00:02.030,2.030
140,7624,00:05:22.437,322.437,7653,00:05:23.706,323.706,30,00:00:01.269,1.269
141,7654,00:05:23.706,323.706,7774,00:05:28.824,328.824,121,00:00:05.118,5.118
142,7775,00:05:28.824,328.824,7798,00:05:29.839,329.839,24,00:00:01.015,1.015
143,7799,00:05:29.839,329.839,7825,00:05:30.981,330.981,27,00:00:01.142,1.142
144,7826,00:05:30.981,330.981,7934,00:05:35.591,335.591,109,00:00:04.610,4.610
145,7935,00:05:35.591,335.591,7961,00:05:36.733,336.733,27,00:00:01.142,1.142
146,7962,00:05:36.733,336.733,7986,00:05:37.791,337.791,25,00:00:01.057,1.057
147,7987,00:05:37.791,337.791,7998,00:05:38.298,338.298,12,00:00:00.508,0.508
148,7999,00:05:38.298,338.298,8031,00:05:39.694,339.694,33,00:00:01.396,1.396
149,8032,00:05:39.694,339.694,8101,00:05:42.655,342.655,70,00:00:02.961,2.961
150,8102,00:05:42.655,342.655,8214,00:05:47.435,347.435,113,00:00:04.780,4.780
151,8215,00:05:47.435,347.435,8262,00:05:49.465,349.465,48,00:00:02.030,2.030
152,8263,00:05:49.465,349.465,8537,00:06:01.097,361.097,275,00:00:11.632,11.632
153,8538,00:06:01.097,361.097,8651,00:06:05.919,365.919,114,00:00:04.822,4.822
154,8652,00:06:05.919,365.919,8665,00:06:06.511,366.511,14,00:00:00.592,0.592
155,8666,00:06:06.511,366.511,8745,00:06:09.895,369.895,80,00:00:03.384,3.384
156,8746,00:06:09.895,369.895,8798,00:06:12.137,372.137,53,00:00:02.242,2.242
157,8799,00:06:12.137,372.137,8848,00:06:14.252,374.252,50,00:00:02.115,2.115
158,8849,00:06:14.252,374.252,8854,00:06:14.505,374.505,6,00:00:00.254,0.254
