Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
541,69030,00:48:38.979,2918.979,69050,00:48:39.867,2919.867,21,00:00:00.888,0.888
542,69051,00:48:39.867,2919.867,69078,00:48:41.051,2921.051,28,00:00:01.184,1.184
543,69079,00:48:41.051,2921.051,69219,00:48:47.014,2927.014,141,00:00:05.962,5.962
544,69220,00:48:47.014,2927.014,69237,00:48:47.775,2927.775,18,00:00:00.761,0.761
545,69238,00:48:47.775,2927.775,69267,00:48:49.043,2929.043,30,00:00:01.269,1.269
546,69268,00:48:49.043,2929.043,69359,00:48:52.934,2932.934,92,00:00:03.890,3.890
547,69360,00:48:52.934,2932.934,69365,00:48:53.187,2933.187,6,00:00:00.254,0.254
548,69366,00:48:53.187,2933.187,69377,00:48:53.695,2933.695,12,00:00:00.507,0.507
549,69378,00:48:53.695,2933.695,69399,00:48:54.625,2934.625,22,00:00:00.930,0.930
550,69400,00:48:54.625,2934.625,69439,00:48:56.317,2936.317,40,00:00:01.691,1.691
551,69440,00:48:56.317,2936.317,69512,00:48:59.403,2939.403,73,00:00:03.087,3.087
552,69513,00:48:59.403,2939.403,69543,00:49:00.714,2940.714,31,00:00:01.311,1.311
553,69544,00:49:00.714,2940.714,69629,00:49:04.351,2944.351,86,00:00:03.637,3.637
554,69630,00:49:04.351,2944.351,69637,00:49:04.689,2944.689,8,00:00:00.338,0.338
555,69638,00:49:04.689,2944.689,69647,00:49:05.112,2945.112,10,00:00:00.423,0.423
556,69648,00:49:05.112,2945.112,69659,00:49:05.619,2945.619,12,00:00:00.507,0.507
557,69660,00:49:05.619,2945.619,69717,00:49:08.072,2948.072,58,00:00:02.453,2.453
558,69718,00:49:08.072,2948.072,69787,00:49:11.032,2951.032,70,00:00:02.960,2.960
559,69788,00:49:11.032,2951.032,69805,00:49:11.793,2951.793,18,00:00:00.761,0.761
560,69806,00:49:11.793,2951.793,69825,00:49:12.639,2952.639,20,00:00:00.846,0.846
561,69826,00:49:12.639,2952.639,69841,00:49:13.316,2953.316,16,00:00:00.677,0.677
562,69842,00:49:13.316,2953.316,69856,00:49:13.950,2953.950,15,00:00:00.634,0.634
563,69857,00:49:13.950,2953.950,69900,00:49:15.810,2955.810,44,00:00:01.861,1.861
564,69901,00:49:15.810,2955.810,69932,00:49:17.164,2957.164,32,00:00:01.353,1.353
565,69933,00:49:17.164,2957.164,69981,00:49:19.236,2959.236,49,00:00:02.072,2.072
566,69982,00:49:19.236,2959.236,69999,00:49:19.997,2959.997,18,00:00:00.761,0.761
567,70000,00:49:19.997,2959.997,70017,00:49:20.758,2960.758,18,00:00:00.761,0.761
568,70018,00:49:20.758,2960.758,70118,00:49:25.029,2965.029,101,00:00:04.271,4.271
569,70119,00:49:25.029,2965.029,70134,00:49:25.705,2965.705,16,00:00:00.677,0.677
570,70135,00:49:25.705,2965.705,70144,00:49:26.128,2966.128,10,00:00:00.423,0.423
571,70145,00:49:26.128,2966.128,70192,00:49:28.158,2968.158,48,00:00:02.030,2.030
572,70193,00:49:28.158,2968.158,70202,00:49:28.581,2968.581,10,00:00:00.423,0.423
573,70203,00:49:28.581,2968.581,70431,00:49:38.264,2978.264,229,00:00:09.684,9.684
574,70432,00:49:38.264,2978.264,70495,00:49:40.971,2980.971,64,00:00:02.706,2.706
575,70496,00:49:40.971,2980.971,70535,00:49:42.662,2982.662,40,00:00:01.691,1.691
576,70536,00:49:42.662,2982.662,70605,00:49:45.622,2985.622,70,00:00:02.960,2.960
577,70606,00:49:45.622,2985.622,70654,00:49:47.694,2987.694,49,00:00:02.072,2.072
578,70655,00:49:47.694,2987.694,70660,00:49:47.948,2987.948,6,00:00:00.254,0.254
579,70661,00:49:47.948,2987.948,70666,00:49:48.202,2988.202,6,00:00:00.254,0.254
580,70667,00:49:48.202,2988.202,70729,00:49:50.866,2990.866,63,00:00:02.664,2.664
581,70730,00:49:50.866,2990.866,70841,00:49:55.602,2995.602,112,00:00:04.736,4.736
582,70842,00:49:55.602,2995.602,70903,00:49:58.224,2998.224,62,00:00:02.622,2.622
583,70904,00:49:58.224,2998.224,71029,00:50:03.552,3003.552,126,00:00:05.328,5.328
