Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,42,00:00:01.776,1.776,42,00:00:01.776,1.776
2,43,00:00:01.776,1.776,104,00:00:04.398,4.398,62,00:00:02.622,2.622
3,105,00:00:04.398,4.398,129,00:00:05.455,5.455,25,00:00:01.057,1.057
4,130,00:00:05.455,5.455,176,00:00:07.442,7.442,47,00:00:01.987,1.987
5,177,00:00:07.442,7.442,443,00:00:18.733,18.733,267,00:00:11.290,11.290
6,444,00:00:18.733,18.733,487,00:00:20.593,20.593,44,00:00:01.861,1.861
7,488,00:00:20.593,20.593,530,00:00:22.412,22.412,43,00:00:01.818,1.818
8,531,00:00:22.412,22.412,582,00:00:24.611,24.611,52,00:00:02.199,2.199
9,583,00:00:24.611,24.611,862,00:00:36.451,36.451,280,00:00:11.840,11.840
10,863,00:00:36.451,36.451,868,00:00:36.704,36.704,6,00:00:00.254,0.254
11,869,00:00:36.704,36.704,1013,00:00:42.836,42.836,145,00:00:06.132,6.132
12,1014,00:00:42.836,42.836,1095,00:00:46.303,46.303,82,00:00:03.467,3.467
13,1096,00:00:46.303,46.303,1131,00:00:47.826,47.826,36,00:00:01.522,1.522
14,1132,00:00:47.826,47.826,1162,00:00:49.137,49.137,31,00:00:01.311,1.311
15,1163,00:00:49.137,49.137,1283,00:00:54.253,54.253,121,00:00:05.117,5.117
16,1284,00:00:54.253,54.253,1395,00:00:58.989,58.989,112,00:00:04.736,4.736
17,1396,00:00:58.989,58.989,1472,00:01:02.245,62.245,77,00:00:03.256,3.256
18,1473,00:01:02.245,62.245,1573,00:01:06.516,66.516,101,00:00:04.271,4.271
19,1574,00:01:06.516,66.516,1632,00:01:09.011,69.011,59,00:00:02.495,2.495
20,1633,00:01:09.011,69.011,1877,00:01:19.371,79.371,245,00:00:10.360,10.360
21,1878,00:01:19.371,79.371,2007,00:01:24.869,84.869,130,00:00:05.497,5.497
22,2008,00:01:24.869,84.869,2080,00:01:27.955,87.955,73,00:00:03.087,3.087
23,2081,00:01:27.955,87.955,2091,00:01:28.421,88.421,11,00:00:00.465,0.465
24,2092,00:01:28.421,88.421,2316,00:01:37.935,97.935,225,00:00:09.514,9.514
25,2317,00:01:37.935,97.935,2354,00:01:39.542,99.542,38,00:00:01.607,1.607
26,2355,00:01:39.542,99.542,2483,00:01:44.997,104.997,129,00:00:05.455,5.455
