Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,42,00:00:01.776,1.776,42,00:00:01.776,1.776
2,43,00:00:01.776,1.776,104,00:00:04.398,4.398,62,00:00:02.622,2.622
3,105,00:00:04.398,4.398,129,00:00:05.455,5.455,25,00:00:01.057,1.057
4,130,00:00:05.455,5.455,176,00:00:07.442,7.442,47,00:00:01.987,1.987
5,177,00:00:07.442,7.442,380,00:00:16.069,16.069,204,00:00:08.626,8.626
6,381,00:00:16.069,16.069,443,00:00:18.733,18.733,63,00:00:02.664,2.664
7,444,00:00:18.733,18.733,487,00:00:20.593,20.593,44,00:00:01.861,1.861
8,488,00:00:20.593,20.593,530,00:00:22.412,22.412,43,00:00:01.818,1.818
9,531,00:00:22.412,22.412,582,00:00:24.611,24.611,52,00:00:02.199,2.199
10,583,00:00:24.611,24.611,858,00:00:36.282,36.282,276,00:00:11.671,11.671
11,859,00:00:36.282,36.282,876,00:00:37.043,37.043,18,00:00:00.761,0.761
12,877,00:00:37.043,37.043,1013,00:00:42.836,42.836,137,00:00:05.793,5.793
13,1014,00:00:42.836,42.836,1048,00:00:44.316,44.316,35,00:00:01.480,1.480
14,1049,00:00:44.316,44.316,1064,00:00:44.993,44.993,16,00:00:00.677,0.677
15,1065,00:00:44.993,44.993,1095,00:00:46.303,46.303,31,00:00:01.311,1.311
16,1096,00:00:46.303,46.303,1131,00:00:47.826,47.826,36,00:00:01.522,1.522
17,1132,00:00:47.826,47.826,1162,00:00:49.137,49.137,31,00:00:01.311,1.311
18,1163,00:00:49.137,49.137,1283,00:00:54.253,54.253,121,00:00:05.117,5.117
19,1284,00:00:54.253,54.253,1395,00:00:58.989,58.989,112,00:00:04.736,4.736
20,1396,00:00:58.989,58.989,1471,00:01:02.203,62.203,76,00:00:03.214,3.214
21,1472,00:01:02.203,62.203,1575,00:01:06.601,66.601,104,00:00:04.398,4.398
22,1576,00:01:06.601,66.601,1632,00:01:09.011,69.011,57,00:00:02.410,2.410
23,1633,00:01:09.011,69.011,1877,00:01:19.371,79.371,245,00:00:10.360,10.360
24,1878,00:01:19.371,79.371,2007,00:01:24.869,84.869,130,00:00:05.497,5.497
25,2008,00:01:24.869,84.869,2079,00:01:27.913,87.913,72,00:00:03.045,3.045
26,2080,00:01:27.913,87.913,2091,00:01:28.421,88.421,12,00:00:00.507,0.507
